Ax,Ay,Bx,By,Cx,Cy,Dx,Dy,Ex,Ey,Fx,Fy,Gx,Gy,Hx,Hy,Ix,Iy,Jx,Jy,Kx,Ky,Lx,Ly,Mx,My,Nx,Ny,Ox,Oy,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,Ux,Uy,Vx,Vy,Wx,Wy,Xx,Xy,Yx,Yy,Zx,Zy
0.265,0.516,3.68E-02,0.405,0.18,0.477,1.21E-02,0.378,0.258,0.51,0.142,0.443,0.28,0.51,9.08E-02,0.421,0.19,0.458,1.95E-02,0.379,0.183,0.469,0.164,0.449,0.192,0.445,0.298,0.514,0.269,0.506,0.239,0.487,0.178,0.448,0.182,0.456,0.254,0.486,0.228,0.487,9.00E-02,0.411,0.205,0.475,0.127,0.42,0.128,0.426,0.199,0.45,0.217,0.47
0.581,0.67,0.354,0.567,0.489,0.628,0.31,0.538,0.566,0.671,0.467,0.604,0.591,0.653,0.383,0.572,0.491,0.611,0.339,0.538,0.487,0.627,0.475,0.602,0.527,0.611,0.602,0.665,0.572,0.661,0.553,0.645,0.503,0.611,0.508,0.618,0.568,0.651,0.534,0.646,0.398,0.579,0.534,0.633,0.435,0.581,0.453,0.596,0.513,0.612,0.539,0.63
0.891,0.808,0.658,0.708,0.8,0.778,0.632,0.679,0.869,0.814,0.792,0.753,0.907,0.79,0.678,0.722,0.798,0.759,0.658,0.685,0.801,0.779,0.802,0.756,0.861,0.772,0.907,0.79,0.879,0.808,0.864,0.788,0.816,0.753,0.845,0.773,0.876,0.796,0.84,0.778,0.713,0.728,0.84,0.781,0.738,0.724,0.766,0.757,0.848,0.762,0.849,0.783
1.21,0.94,0.965,0.841,1.106,0.918,0.96,0.83,1.173,0.948,1.108,0.882,1.219,0.916,0.97,0.85,1.105,0.888,0.974,0.82,1.102,0.92,1.114,0.882,1.187,0.899,1.218,0.914,1.187,0.932,1.183,0.92,1.132,0.892,1.168,0.92,1.197,0.927,1.146,0.92,1.017,0.874,1.157,0.918,1.036,0.853,1.089,0.896,1.162,0.894,1.165,0.934
1.52,1.058,1.271,0.963,1.417,1.039,1.276,0.959,1.476,1.061,1.426,1.002,1.535,1.026,1.263,0.974,1.418,1.005,1.293,0.948,1.413,1.051,1.43,1.014,1.522,1.026,1.522,1.012,1.487,1.06,1.487,1.045,1.457,1.019,1.502,1.045,1.498,1.045,1.752,1.156,1.325,1.009,1.484,1.047,1.342,0.971,1.402,1.028,1.487,1.023,1.481,1.057
1.828,1.163,1.578,1.072,1.72,1.149,1.59,1.07,1.779,1.165,1.739,1.115,1.844,1.128,1.555,1.079,1.719,1.117,1.604,1.061,1.724,1.166,1.742,1.113,1.847,1.139,1.82,1.116,1.794,1.165,1.809,1.161,1.768,1.122,1.832,1.165,1.812,1.149,1.747,1.146,1.636,1.131,1.804,1.152,1.64,1.078,1.729,1.153,1.809,1.136,1.797,1.175
2.138,1.247,1.885,1.173,2.026,1.245,1.909,1.176,2.085,1.257,2.06,1.209,2.15,1.214,1.847,1.181,2.021,1.216,1.924,1.155,2.035,1.266,2.059,1.213,2.182,1.238,2.118,1.186,2.098,1.247,2.117,1.255,2.086,1.216,2.166,1.267,2.123,1.247,2.354,1.334,1.944,1.239,2.115,1.26,1.943,1.18,2.045,1.261,2.121,1.233,2.111,1.274
2.446,1.325,2.187,1.257,2.33,1.331,2.229,1.26,2.392,1.334,2.376,1.293,2.457,1.284,2.136,1.263,2.328,1.297,2.235,1.245,2.346,1.354,2.365,1.291,2.498,1.322,2.429,1.27,2.398,1.333,2.428,1.338,2.397,1.305,2.493,1.357,2.424,1.327,2.362,1.34,2.255,1.332,2.432,1.351,2.242,1.255,2.368,1.357,2.438,1.313,2.418,1.37
2.75,1.385,2.481,1.332,2.631,1.404,2.542,1.338,2.69,1.401,2.692,1.36,2.76,1.345,2.436,1.334,2.636,1.359,2.55,1.312,2.651,1.434,2.672,1.363,2.814,1.387,2.734,1.327,2.694,1.404,2.744,1.409,2.711,1.374,2.812,1.44,2.736,1.391,2.966,1.469,2.567,1.416,2.746,1.431,2.545,1.322,2.686,1.432,2.747,1.386,2.732,1.442
3.052,1.441,2.78,1.389,2.94,1.457,2.859,1.404,2.999,1.463,3.001,1.417,3.059,1.399,2.729,1.393,2.944,1.422,2.862,1.375,2.959,1.501,2.968,1.425,3.13,1.447,3.012,1.376,2.998,1.464,3.044,1.46,3.02,1.434,3.131,1.499,3.034,1.447,3.264,1.519,2.871,1.493,3.064,1.49,2.838,1.378,3.005,1.509,3.061,1.445,3.036,1.514
3.348,1.477,3.07,1.434,3.233,1.508,3.164,1.448,3.292,1.508,3.312,1.465,3.355,1.431,3.014,1.441,3.239,1.473,3.162,1.431,3.264,1.547,3.274,1.465,3.437,1.497,3.31,1.399,3.28,1.5,3.348,1.512,3.319,1.48,3.458,1.559,3.332,1.497,3.557,1.545,3.175,1.551,3.381,1.541,3.129,1.429,3.323,1.569,3.362,1.49,3.341,1.561
3.65,1.506,3.352,1.462,3.531,1.545,3.472,1.49,3.583,1.538,3.628,1.502,3.659,1.463,3.307,1.478,3.559,1.512,3.467,1.46,3.569,1.594,3.57,1.499,3.744,1.528,3.602,1.422,3.584,1.533,3.656,1.557,3.621,1.513,3.77,1.599,3.63,1.523,3.857,1.572,3.486,1.599,3.69,1.587,3.416,1.456,3.637,1.612,3.658,1.533,3.643,1.609
3.937,1.521,3.642,1.494,3.825,1.566,3.777,1.517,3.876,1.556,3.925,1.521,3.947,1.481,3.592,1.507,3.843,1.532,3.771,1.489,3.874,1.623,3.872,1.518,4.036,1.55,3.88,1.444,3.873,1.551,3.96,1.582,3.925,1.54,4.093,1.636,3.925,1.546,4.149,1.581,3.781,1.639,4.007,1.616,3.71,1.482,3.946,1.646,3.959,1.554,3.948,1.636
4.221,1.529,3.932,1.497,4.11,1.579,4.076,1.531,4.167,1.566,4.235,1.533,4.235,1.473,3.873,1.513,4.145,1.547,4.064,1.506,4.168,1.636,4.152,1.531,4.343,1.562,4.165,1.433,4.158,1.564,4.261,1.592,4.211,1.547,4.398,1.65,4.217,1.558,4.445,1.585,4.087,1.666,4.311,1.632,3.99,1.487,4.255,1.67,4.247,1.562,4.244,1.659
4.511,1.522,4.202,1.495,4.403,1.576,4.375,1.53,4.46,1.566,4.53,1.535,4.517,1.464,4.159,1.511,4.441,1.549,4.368,1.509,4.467,1.642,4.443,1.528,4.631,1.574,4.443,1.428,4.444,1.559,4.562,1.59,4.506,1.547,4.71,1.656,4.505,1.557,4.733,1.576,4.387,1.668,4.618,1.64,4.267,1.481,4.569,1.679,4.535,1.567,4.54,1.658
4.786,1.503,4.479,1.484,4.686,1.565,4.668,1.533,4.748,1.552,4.822,1.521,4.798,1.448,4.437,1.498,4.737,1.527,4.654,1.496,4.769,1.641,4.723,1.514,4.919,1.557,4.714,1.403,4.722,1.554,4.855,1.577,4.801,1.537,5.022,1.655,4.78,1.542,5.029,1.556,4.68,1.67,4.923,1.64,4.55,1.47,4.874,1.679,4.826,1.553,4.833,1.661
5.07,1.475,4.749,1.469,4.966,1.543,4.97,1.517,5.028,1.53,5.122,1.496,5.075,1.42,4.715,1.477,5.028,1.505,4.943,1.479,5.067,1.623,4.998,1.489,5.207,1.53,4.993,1.372,5.004,1.525,5.148,1.561,5.089,1.513,5.326,1.642,5.065,1.517,5.027,1.556,4.98,1.663,5.227,1.615,4.824,1.445,5.179,1.672,5.114,1.534,5.114,1.645
5.345,1.432,5.014,1.433,5.249,1.508,5.257,1.486,5.317,1.5,5.42,1.463,5.355,1.379,4.989,1.449,5.312,1.465,5.225,1.459,5.366,1.588,5.289,1.464,5.476,1.508,5.244,1.319,5.29,1.486,5.445,1.529,5.377,1.484,5.635,1.618,5.346,1.479,5.602,1.479,5.272,1.649,5.523,1.591,5.099,1.415,5.483,1.646,5.392,1.498,5.41,1.614
5.612,1.383,5.288,1.379,5.511,1.469,5.542,1.446,5.597,1.449,5.706,1.415,5.62,1.328,5.267,1.402,5.602,1.431,5.519,1.415,5.661,1.553,5.564,1.413,5.765,1.458,5.516,1.26,5.568,1.446,5.731,1.485,5.653,1.441,5.932,1.582,5.621,1.434,5.884,1.424,5.565,1.613,5.825,1.553,5.372,1.366,5.788,1.612,5.67,1.457,5.704,1.586
5.896,1.325,5.54,1.334,5.799,1.412,5.826,1.4,5.869,1.389,5.999,1.36,5.884,1.262,5.538,1.347,5.881,1.379,5.797,1.36,5.953,1.501,5.834,1.366,6.034,1.402,5.781,1.201,5.846,1.376,6.021,1.434,5.941,1.383,6.229,1.535,5.896,1.378,5.888,1.419,5.86,1.567,6.127,1.498,5.639,1.306,6.093,1.566,5.95,1.4,5.982,1.534
6.15,1.248,5.81,1.264,6.069,1.345,6.117,1.336,6.15,1.326,6.282,1.295,6.156,1.189,5.813,1.28,6.177,1.315,6.079,1.302,6.252,1.435,6.098,1.293,6.298,1.342,6.046,1.136,6.121,1.317,6.311,1.36,6.215,1.316,6.527,1.469,6.165,1.312,6.448,1.271,6.153,1.509,6.426,1.436,5.908,1.244,6.393,1.511,6.222,1.343,6.273,1.47
6.426,1.169,6.066,1.189,6.341,1.269,6.401,1.259,6.422,1.24,6.575,1.218,6.415,1.108,6.087,1.195,6.462,1.226,6.361,1.224,6.541,1.36,6.374,1.209,6.563,1.267,6.298,1.029,6.384,1.235,6.601,1.283,6.494,1.234,6.828,1.399,6.44,1.223,6.731,1.18,6.432,1.437,6.728,1.363,6.17,1.162,6.698,1.439,6.492,1.264,6.554,1.402
6.69,1.074,6.311,1.11,6.611,1.182,6.677,1.174,6.703,1.153,6.859,1.131,6.68,1.018,6.351,1.11,6.74,1.138,6.628,1.15,6.83,1.274,6.638,1.13,6.837,1.183,6.563,0.936,6.659,1.15,6.879,1.19,6.765,1.147,7.126,1.317,6.699,1.137,7.016,1.082,6.725,1.363,7.017,1.285,6.429,1.07,7.001,1.365,6.762,1.186,6.833,1.32
6.947,0.964,6.572,1.005,6.884,1.079,6.955,1.076,6.978,1.053,7.138,1.028,6.945,0.91,6.618,1.013,7.031,1.044,6.907,1.057,7.126,1.171,6.897,1.03,7.087,1.084,6.795,0.83,6.937,1.049,7.169,1.093,7.042,1.051,7.42,1.217,6.978,1.034,7.285,0.97,7.016,1.279,7.314,1.185,6.694,0.975,7.294,1.267,7.027,1.086,7.111,1.226
7.208,0.849,6.825,0.892,7.143,0.965,7.237,0.97,7.246,0.934,7.424,0.917,7.198,0.802,6.893,0.901,7.304,0.919,7.182,0.949,7.415,1.058,7.168,0.919,7.342,0.981,7.047,0.716,7.193,0.933,7.452,0.977,7.309,0.936,7.71,1.113,7.233,0.921,7.569,0.84,7.307,1.173,7.606,1.071,6.95,0.862,7.593,1.159,7.289,0.977,7.378,1.122
7.466,0.718,7.065,0.782,7.414,0.846,7.513,0.842,7.519,0.815,7.699,0.79,7.45,0.672,7.157,0.773,7.583,0.8,7.449,0.833,7.707,0.931,7.422,0.797,7.597,0.873,7.299,0.582,7.465,0.806,7.731,0.846,7.581,0.811,7.989,0.989,7.495,0.801,7.833,0.695,7.596,1.048,7.895,0.947,7.204,0.74,7.889,1.034,7.551,0.866,7.66,1.006
7.709,0.584,7.314,0.643,7.676,0.711,7.789,0.714,7.784,0.677,7.973,0.656,7.707,0.534,7.417,0.635,7.874,0.651,7.724,0.702,7.99,0.794,7.687,0.665,7.848,0.745,7.551,0.435,7.728,0.671,7.998,0.715,7.844,0.671,8.283,0.858,7.754,0.667,8.111,0.553,7.873,0.921,8.189,0.82,7.453,0.604,8.177,0.904,7.805,0.731,7.93,0.875
7.964,0.426,7.554,0.509,7.93,0.57,8.053,0.571,8.038,0.531,8.245,0.516,7.95,0.393,7.684,0.488,8.147,0.503,7.984,0.567,8.266,0.644,7.941,0.516,8.089,0.598,7.796,0.281,7.981,0.525,8.274,0.561,8.113,0.522,8.55,0.716,8.006,0.517,8.383,0.384,8.162,0.784,8.47,0.669,7.705,0.456,8.462,0.758,8.062,0.593,8.194,0.733
8.203,0.276,7.807,0.353,8.187,0.408,8.332,0.41,8.311,0.369,8.51,0.353,8.199,0.231,7.94,0.33,8.414,0.348,8.24,0.416,8.552,0.48,8.185,0.356,8.33,0.456,8.028,0.134,8.237,0.371,8.545,0.404,8.364,0.371,8.829,0.566,8.258,0.356,8.642,0.21,8.446,0.638,8.749,0.51,7.959,0.299,8.748,0.602,8.313,0.442,8.458,0.581
8.462,0.109,8.035,0.179,8.444,0.233,8.581,0.249,8.565,0.201,8.785,0.18,8.443,6.30E-02,8.197,0.157,8.676,0.174,8.504,0.262,8.825,0.296,8.434,0.191,8.561,0.333,8.233,2.68E-02,8.493,0.198,8.809,0.223,8.605,0.2,9.097,0.404,8.497,0.191,8.91,2.01E-02,8.718,0.462,9.011,0.356,8.203,0.126,9.032,0.439,8.549,0.285,8.716,0.416
8.462,0.1,8.258,3.57E-02,8.685,6.22E-02,8.846,7.30E-02,8.825,3.37E-02,9.033,1.17E-02,8.443,0.00E+00,8.445,-4.45E-03,8.925,1.10E-03,8.749,8.55E-02,9.104,0.115,8.678,1.52E-02,8.783,0.177,8.233,0,8.75,9.35E-03,9.069,4.99E-02,8.863,2.71E-02,9.361,0.224,8.745,1.71E-02,8.91,0,8.988,0.289,9.303,0.153,8.438,-7.04E-03,9.31,0.256,8.795,0.122,8.974,0.252
